Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
36,966,37,2002-01-19,WAS,@,CHI,W 77-69,*,40:41,7,21,.333,0,2,.000,7,19,.368,.333,2,6,.333,0,12,12,4,2,2,9,4,16,1.7,17
37,967,38,2002-01-21,WAS,@,MIN,L 101-105,*,39:40,12,34,.353,1,4,.250,11,30,.367,.368,4,5,.800,4,10,14,3,0,0,1,1,29,16.1,2
38,968,39,2002-01-22,WAS,,PHI,L 84-91,*,41:38,14,27,.519,1,2,.500,13,25,.520,.537,1,1,1.000,2,6,8,6,2,1,5,4,30,20.2,-8
39,969,40,2002-01-24,WAS,,CLE,W 94-85,*,39:53,18,29,.621,0,0,,18,29,.621,.621,4,7,.571,1,7,8,2,2,0,0,2,40,31.1,9
40,970,41,2002-01-26,WAS,,PHO,W 112-102,*,39:54,17,30,.567,0,0,,17,30,.567,.567,7,9,.778,2,2,4,7,2,0,2,2,41,32.1,18
41,971,42,2002-01-29,WAS,,DET,L 86-89,*,41:27,13,30,.433,0,0,,13,30,.433,.433,6,8,.750,0,5,5,7,2,0,3,0,32,20.8,-1
42,972,43,2002-01-31,WAS,@,CLE,W 93-92,*,39:35,11,27,.407,0,1,.000,11,26,.423,.407,4,4,1.000,1,4,5,8,1,0,4,0,26,16.0,9
43,973,44,2002-02-01,WAS,,ATL,W 97-90,*,37:52,10,24,.417,0,1,.000,10,23,.435,.417,8,10,.800,0,4,4,8,2,2,1,2,28,22.8,5
44,974,45,2002-02-03,WAS,,IND,W 109-89,*,40:42,11,19,.579,1,1,1.000,10,18,.556,.605,0,0,,1,4,5,6,0,0,0,2,23,19.4,17
45,975,46,2002-02-05,WAS,,TOR,W 99-94,*,39:29,10,21,.476,0,1,.000,10,20,.500,.476,3,4,.750,1,6,7,5,0,0,2,3,23,14.7,6
46,976,47,2002-02-07,WAS,,SAC,W 108-101,*,40:47,12,30,.400,0,1,.000,12,29,.414,.400,1,1,1.000,2,4,6,9,1,0,1,2,25,16.9,1
47,977,48,2002-02-12,WAS,@,LAL,L 94-103,*,41:02,8,20,.400,0,0,,8,20,.400,.400,6,8,.750,0,5,5,6,2,1,4,1,22,14.4,-2
48,978,49,2002-02-14,WAS,@,SAC,L 93-109,*,32:28,6,18,.333,0,0,,6,18,.333,.333,4,6,.667,0,1,1,4,1,0,3,0,16,6.1,-21
49,979,50,2002-02-15,WAS,@,PHO,W 97-96,*,36:36,7,19,.368,0,0,,7,19,.368,.368,8,9,.889,0,6,6,4,2,2,5,2,22,13.3,4
50,980,51,2002-02-18,WAS,,HOU,L 89-102,*,36:21,5,12,.417,0,1,.000,5,11,.455,.417,1,2,.500,1,5,6,11,0,0,2,2,11,11.3,-9
51,981,53,2002-02-21,WAS,,NJN,L 82-93,*,37:29,7,17,.412,0,1,.000,7,16,.438,.412,2,2,1.000,0,5,5,6,3,0,4,2,16,10.8,-9
52,982,54,2002-02-23,WAS,,MIA,L 95-97,*,37:40,13,25,.520,1,1,1.000,12,24,.500,.540,10,12,.833,1,4,5,7,0,0,4,3,37,25.5,-2
53,983,55,2002-02-24,WAS,@,MIA,L 80-92,*,29:35,4,13,.308,1,2,.500,3,11,.273,.346,0,1,.000,0,5,5,6,3,0,6,2,9,3.0,-1
54,984,68,2002-03-20,WAS,@,DEN,W 107-75,,16:24,2,9,.222,0,0,,2,9,.222,.222,3,3,1.000,0,1,1,2,2,0,2,0,7,3.2,7
55,985,69,2002-03-21,WAS,@,UTA,L 79-94,,22:00,4,12,.333,0,0,,4,12,.333,.333,3,4,.750,0,4,4,4,1,0,1,0,11,7.8,-9
56,986,70,2002-03-24,WAS,@,TOR,L 91-92,,22:39,6,17,.353,0,0,,6,17,.353,.353,2,2,1.000,0,3,3,2,2,0,3,4,14,4.2,1
57,987,71,2002-03-26,WAS,,DEN,W 103-87,,20:04,4,9,.444,0,1,.000,4,8,.500,.444,1,3,.333,1,2,3,6,0,0,1,2,9,7.2,15
58,988,72,2002-03-29,WAS,,MIL,W 107-98,,26:09,12,22,.545,0,0,,12,22,.545,.545,10,12,.833,0,3,3,1,0,0,0,1,34,23.8,-7
59,989,73,2002-03-31,WAS,,DAL,L 103-110,,27:41,4,14,.286,0,0,,4,14,.286,.286,2,2,1.000,1,2,3,5,1,1,2,1,10,5.9,-8
60,990,74,2002-04-02,WAS,,LAL,L 93-113,,12:16,1,5,.200,0,0,,1,5,.200,.200,0,0,,0,3,3,3,0,0,0,1,2,1.5,-7
