Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
14,1004,14,2002-11-26,WAS,,IND,L 84-88,,33:41,10,21,.476,3,3,1.000,7,18,.389,.548,5,8,.625,0,1,1,2,3,0,1,2,28,19.0,2
15,1005,15,2002-11-29,WAS,@,IND,L 84-100,,30:20,6,15,.400,0,1,.000,6,14,.429,.400,2,2,1.000,0,4,4,1,1,0,1,2,14,7.0,-15
16,1006,16,2002-11-30,WAS,,PHI,L 94-95,*,37:07,8,20,.400,0,2,.000,8,18,.444,.400,0,0,,1,3,4,2,0,1,2,3,16,5.7,-1
17,1007,17,2002-12-03,WAS,,MIL,W 103-78,*,29:44,9,20,.450,0,0,,9,20,.450,.450,7,8,.875,0,7,7,4,0,0,1,1,25,17.7,21
18,1008,18,2002-12-04,WAS,@,DET,W 88-83,*,38:38,5,14,.357,0,0,,5,14,.357,.357,11,16,.688,2,7,9,4,6,2,3,2,21,21.1,16
19,1009,19,2002-12-06,WAS,@,ORL,L 78-88,*,38:50,7,21,.333,0,0,,7,21,.333,.333,2,2,1.000,1,5,6,0,0,0,3,3,16,2.1,-12
20,1010,20,2002-12-07,WAS,,NYK,W 100-97,*,37:04,9,18,.500,0,1,.000,9,17,.529,.500,2,4,.500,0,9,9,2,3,0,2,3,20,14.1,7
21,1011,21,2002-12-10,WAS,,POR,L 79-98,*,28:31,6,10,.600,0,0,,6,10,.600,.600,2,2,1.000,2,3,5,1,1,1,1,0,14,13.1,-15
22,1012,22,2002-12-13,WAS,@,NJN,L 65-79,*,40:14,5,20,.250,0,0,,5,20,.250,.250,2,2,1.000,0,5,5,4,2,0,4,2,12,1.5,-14
23,1013,23,2002-12-15,WAS,@,TOR,W 95-82,*,39:32,1,9,.111,0,0,,1,9,.111,.111,0,0,,2,6,8,9,2,1,0,2,2,7.5,11
24,1014,24,2002-12-17,WAS,@,ATL,W 109-99,*,37:47,12,18,.667,0,0,,12,18,.667,.667,6,6,1.000,0,3,3,2,0,0,1,3,30,22.3,3
25,1015,25,2002-12-18,WAS,,MEM,W 118-100,*,35:28,14,23,.609,2,3,.667,12,20,.600,.652,3,3,1.000,0,5,5,2,3,0,3,0,33,25.4,4
26,1016,26,2002-12-21,WAS,@,SAS,L 81-92,*,41:00,8,20,.400,0,0,,8,20,.400,.400,0,0,,0,5,5,3,0,1,2,1,16,7.1,-15
27,1017,27,2002-12-23,WAS,@,DAL,L 86-92,*,36:05,5,15,.333,1,1,1.000,4,14,.286,.367,2,2,1.000,0,7,7,8,0,2,3,3,13,9.4,-2
28,1018,28,2002-12-26,WAS,,DET,L 82-87,*,41:13,7,17,.412,0,1,.000,7,16,.438,.412,3,4,.750,1,3,4,1,0,2,4,4,17,5.6,-8
29,1019,29,2002-12-28,WAS,,ATL,W 84-76,*,34:43,4,10,.400,0,1,.000,4,9,.444,.400,2,2,1.000,1,3,4,5,1,1,0,2,10,10.6,4
30,1020,30,2002-12-30,WAS,@,ORL,L 95-112,*,38:54,8,17,.471,0,0,,8,17,.471,.471,5,5,1.000,0,8,8,9,3,0,4,4,21,18.4,-9
31,1021,31,2002-12-31,WAS,,SAS,W 105-103,*,34:55,7,15,.467,1,1,1.000,6,14,.429,.500,2,2,1.000,1,6,7,3,1,0,2,1,17,12.5,4
32,1022,32,2003-01-02,WAS,@,CHI,W 107-82,*,30:01,4,11,.364,0,2,.000,4,9,.444,.364,2,2,1.000,1,4,5,5,2,0,3,1,10,7.9,32
33,1023,33,2003-01-04,WAS,,IND,W 107-104 (2OT),*,52:48,14,26,.538,3,4,.750,11,22,.500,.596,10,12,.833,3,9,12,4,3,0,2,2,41,35.4,15
34,1024,34,2003-01-06,WAS,@,BOS,W 100-95,*,39:33,7,18,.389,0,2,.000,7,16,.438,.389,5,5,1.000,0,11,11,7,4,0,4,2,19,16.6,6
35,1025,35,2003-01-08,WAS,,CHI,W 101-98,*,33:26,5,13,.385,0,0,,5,13,.385,.385,4,5,.800,0,10,10,7,1,0,2,4,14,11.8,7
36,1026,36,2003-01-10,WAS,,GSW,L 99-104,*,40:37,7,17,.412,0,0,,7,17,.412,.412,0,0,,0,2,2,5,0,1,0,1,14,9.3,-8
37,1027,37,2003-01-11,WAS,@,NYK,W 89-84,*,41:26,8,25,.320,0,0,,8,25,.320,.320,7,9,.778,5,5,10,3,1,0,2,2,23,13.2,9
38,1028,38,2003-01-14,WAS,,TOR,L 75-84,*,40:40,8,23,.348,0,0,,8,23,.348,.348,6,6,1.000,2,3,5,4,3,2,2,1,22,16.2,-3
39,1029,39,2003-01-16,WAS,,ORL,W 108-93,*,39:02,12,25,.480,0,1,.000,12,24,.500,.480,8,10,.800,1,5,6,8,2,0,1,3,32,26.1,11
40,1030,40,2003-01-18,WAS,,PHI,L 80-88,*,42:13,10,25,.400,0,3,.000,10,22,.455,.400,5,6,.833,2,6,8,7,5,1,2,4,25,21.3,-14
41,1031,41,2003-01-20,WAS,,DEN,W 89-74,*,41:33,11,22,.500,0,2,.000,11,20,.550,.500,3,4,.750,1,4,5,6,1,1,3,3,25,17.2,15
42,1032,42,2003-01-22,WAS,@,NOH,L 94-103,*,38:03,9,21,.429,0,0,,9,21,.429,.429,0,0,,0,4,4,3,3,0,2,1,18,10.8,-10
43,1033,43,2003-01-24,WAS,@,CHI,L 97-104,*,39:33,4,14,.286,0,0,,4,14,.286,.286,3,4,.750,2,3,5,3,1,1,1,2,11,6.7,4
44,1034,44,2003-01-25,WAS,,MIN,L 89-97,*,40:35,8,18,.444,0,1,.000,8,17,.471,.444,1,2,.500,0,8,8,5,2,1,4,0,17,11.8,-8
45,1035,45,2003-01-27,WAS,,PHO,W 98-93,*,37:58,9,14,.643,0,0,,9,14,.643,.643,1,2,.500,0,7,7,1,2,0,5,1,19,11.8,9
46,1036,46,2003-01-29,WAS,@,NJN,L 78-86,*,37:12,4,16,.250,0,0,,4,16,.250,.250,0,0,,0,5,5,5,0,0,3,2,8,-0.4,-8
47,1037,47,2003-01-30,WAS,@,MIL,L 90-97,*,39:04,11,24,.458,0,1,.000,11,23,.478,.458,2,3,.667,2,2,4,4,1,0,2,1,24,14.6,-16
48,1038,48,2003-02-01,WAS,,NOH,W 109-104,*,43:53,18,33,.545,0,0,,18,33,.545,.545,9,10,.900,1,2,3,6,1,1,2,5,45,31.9,14
49,1039,49,2003-02-04,WAS,,CLE,W 93-84,*,42:35,13,26,.500,0,0,,13,26,.500,.500,1,1,1.000,0,4,4,8,4,1,2,3,27,22.3,8
50,1040,50,2003-02-11,WAS,@,SAC,L 80-99,*,30:30,5,19,.263,0,0,,5,19,.263,.263,2,2,1.000,2,5,7,2,0,0,1,0,12,4.0,-25
51,1041,51,2003-02-12,WAS,@,LAC,W 108-104,*,39:30,8,24,.333,0,0,,8,24,.333,.333,7,9,.778,2,4,6,12,2,1,2,6,23,17.9,10
52,1042,52,2003-02-14,WAS,@,UTA,L 77-109,*,29:12,3,12,.250,0,0,,3,12,.250,.250,5,5,1.000,1,1,2,3,0,0,2,0,11,4.9,-35
53,1043,53,2003-02-19,WAS,@,NOH,L 75-87,*,39:17,8,23,.348,0,0,,8,23,.348,.348,4,6,.667,3,3,6,2,0,2,3,0,20,9.1,-21
54,1044,54,2003-02-21,WAS,,NJN,W 89-86,*,43:01,18,30,.600,0,0,,18,30,.600,.600,7,8,.875,0,10,10,3,4,1,1,2,43,36.8,9
55,1045,55,2003-02-23,WAS,,DAL,L 101-106 (OT),*,51:33,14,26,.538,0,0,,14,26,.538,.538,2,2,1.000,2,7,9,3,2,1,6,3,30,18.5,-1
56,1046,56,2003-02-25,WAS,@,IND,W 83-78,*,40:48,11,25,.440,0,0,,11,25,.440,.440,3,4,.750,0,6,6,3,1,0,1,2,25,14.6,13
57,1047,57,2003-02-27,WAS,,HOU,W 100-98 (OT),*,49:56,15,26,.577,0,0,,15,26,.577,.577,5,7,.714,0,11,11,6,0,0,3,3,35,25.3,0
58,1048,58,2003-03-01,WAS,,CHI,W 101-93,*,42:46,7,18,.389,0,2,.000,7,16,.438,.389,3,4,.750,0,8,8,8,0,0,2,2,17,12.0,21
59,1049,59,2003-03-02,WAS,@,MIA,L 83-93,*,38:45,9,27,.333,0,1,.000,9,26,.346,.333,3,3,1.000,1,7,8,2,1,3,0,2,21,12.2,1
60,1050,60,2003-03-04,WAS,,TOR,L 86-89,*,14:48,2,5,.400,0,0,,2,5,.400,.400,0,0,,1,2,3,2,0,0,3,1,4,0.6,-2
61,1051,61,2003-03-05,WAS,,LAC,W 99-80,*,24:23,4,14,.286,0,0,,4,14,.286,.286,2,2,1.000,3,6,9,0,0,0,1,2,10,3.9,11
62,1052,62,2003-03-07,WAS,,MIL,L 82-85,*,42:58,11,24,.458,0,1,.000,11,23,.478,.458,5,6,.833,0,9,9,3,2,0,1,2,27,19.2,7
63,1053,63,2003-03-09,WAS,@,NYK,L 96-97,*,42:58,13,22,.591,0,0,,13,22,.591,.591,13,15,.867,1,7,8,1,1,0,3,3,39,28.3,7
64,1054,64,2003-03-11,WAS,,ORL,W 106-105,*,39:40,10,18,.556,0,0,,10,18,.556,.556,3,3,1.000,0,4,4,2,2,0,9,4,23,8.4,-5
65,1055,65,2003-03-14,WAS,@,DET,L 80-90,*,39:48,6,18,.333,0,0,,6,18,.333,.333,3,4,.750,1,4,5,4,2,1,0,2,15,11.0,-17
66,1056,66,2003-03-15,WAS,,MIA,W 89-82,*,39:29,9,18,.500,0,1,.000,9,17,.529,.500,1,1,1.000,2,6,8,1,2,2,3,3,19,13.1,4
67,1057,67,2003-03-18,WAS,,DET,L 90-94 (OT),*,50:08,10,25,.400,0,1,.000,10,24,.417,.400,3,4,.750,1,10,11,3,0,0,2,2,23,12.1,-2
68,1058,68,2003-03-21,WAS,@,PHO,L 83-109,*,35:38,4,12,.333,0,1,.000,4,11,.364,.333,6,6,1.000,2,3,5,2,1,1,2,0,14,10.6,-29
69,1059,69,2003-03-23,WAS,@,GSW,L 107-113,*,41:59,11,23,.478,1,1,1.000,10,22,.455,.500,1,1,1.000,0,5,5,4,2,0,3,2,24,14.8,-5
70,1060,70,2003-03-25,WAS,@,POR,W 95-91,*,41:10,11,19,.579,0,0,,11,19,.579,.579,3,4,.750,0,5,5,7,2,0,1,4,25,21.5,6
71,1061,71,2003-03-26,WAS,@,SEA,W 80-74,*,43:49,12,22,.545,0,0,,12,22,.545,.545,2,3,.667,1,9,10,4,2,1,4,3,26,18.7,5
72,1062,72,2003-03-28,WAS,@,LAL,L 94-108,*,40:37,10,20,.500,0,0,,10,20,.500,.500,3,4,.750,0,0,0,4,1,0,1,1,23,15.0,-10
73,1063,73,2003-03-30,WAS,@,DEN,L 72-88,*,37:34,9,23,.391,0,1,.000,9,22,.409,.391,1,2,.500,1,4,5,2,1,0,5,1,19,5.0,-20
74,1064,74,2003-04-02,WAS,,SAC,L 99-105,*,42:00,8,17,.471,0,0,,8,17,.471,.471,1,2,.500,0,1,1,4,0,0,1,2,17,9.2,-2
75,1065,75,2003-04-03,WAS,@,ATL,L 89-91,*,42:38,10,23,.435,0,1,.000,10,22,.455,.435,2,2,1.000,1,13,14,7,2,0,0,2,22,20.6,-5
76,1066,76,2003-04-06,WAS,@,BOS,W 99-98 (OT),*,46:52,10,22,.455,1,1,1.000,9,21,.429,.477,4,4,1.000,2,11,13,7,2,0,2,3,25,22.0,-9
77,1067,77,2003-04-08,WAS,@,CLE,W 100-91,*,45:38,10,19,.526,1,1,1.000,9,18,.500,.553,5,5,1.000,3,7,10,3,3,1,1,0,26,25.7,11
78,1068,78,2003-04-09,WAS,,BOS,L 83-87,*,42:35,8,17,.471,1,2,.500,7,15,.467,.500,4,4,1.000,0,10,10,1,2,0,1,2,21,16.2,0
79,1069,79,2003-04-11,WAS,@,MIA,W 91-87,*,39:43,11,26,.423,0,1,.000,11,25,.440,.423,3,3,1.000,1,1,2,4,2,0,1,2,25,15.2,2
80,1070,80,2003-04-12,WAS,,ATL,L 100-101,*,29:51,8,16,.500,0,0,,8,16,.500,.500,1,2,.500,2,6,8,6,1,1,2,3,17,14.5,12
81,1071,81,2003-04-14,WAS,,NYK,L 79-93,*,37:33,9,22,.409,0,3,.000,9,19,.474,.409,3,3,1.000,1,7,8,1,1,0,2,1,21,11.3,-11
82,1072,82,2003-04-16,WAS,@,PHI,L 87-107,*,28:10,6,15,.400,0,0,,6,15,.400,.400,3,4,.750,0,4,4,4,0,0,2,0,15,8.5,-12
