Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
49,231,49,1988-02-13,CHI,@,DET,L 73-82,*,40:00,9,22,.409,0,1,.000,9,21,.429,.409,9,10,.900,0,2,2,2,3,2,4,0,27,17.2
50,232,50,1988-02-15,CHI,,ATL,W 126-107,*,38:00,13,22,.591,0,0,,13,22,.591,.591,6,8,.750,3,10,13,8,5,2,2,2,32,35.3
51,233,51,1988-02-19,CHI,,SAC,W 111-90,*,38:00,19,27,.704,0,0,,19,27,.704,.704,11,14,.786,2,1,3,3,3,3,5,2,49,39.6
52,234,52,1988-02-21,CHI,@,CLE,L 111-113,*,45:00,16,31,.516,0,2,.000,16,29,.552,.516,14,15,.933,1,3,4,9,3,1,3,3,46,37.7
53,235,53,1988-02-23,CHI,,SEA,W 104-97 (OT),*,48:00,11,29,.379,0,0,,11,29,.379,.379,17,20,.850,2,7,9,5,4,2,0,4,39,32.7
54,236,54,1988-02-26,CHI,,POR,L 96-104,*,43:00,21,34,.618,0,2,.000,21,32,.656,.618,10,12,.833,2,6,8,3,2,3,6,5,52,37.2
55,237,55,1988-02-27,CHI,,MIL,L 91-94,*,44:00,16,27,.593,0,0,,16,27,.593,.593,6,8,.750,1,1,2,3,3,3,3,5,38,27.9
56,238,56,1988-02-29,CHI,@,PHI,L 101-102,*,46:00,13,22,.591,0,0,,13,22,.591,.591,9,13,.692,1,4,5,4,2,0,3,1,35,26.5
57,239,57,1988-03-03,CHI,,PHI,W 97-93,*,41:00,15,29,.517,0,0,,15,29,.517,.517,6,9,.667,0,10,10,7,3,2,5,4,36,26.2
58,240,58,1988-03-05,CHI,,LAC,W 100-76,*,27:00,9,13,.692,0,0,,9,13,.692,.692,3,4,.750,0,6,6,4,4,2,2,2,21,22.3
59,241,59,1988-03-07,CHI,@,NYK,L 98-110,*,44:00,12,24,.500,0,2,.000,12,22,.545,.500,14,16,.875,1,9,10,3,1,0,4,4,38,26.1
60,242,60,1988-03-10,CHI,,LAL,W 128-107,*,42:00,17,34,.500,0,1,.000,17,33,.515,.500,4,4,1.000,5,4,9,7,3,1,2,2,38,31.5
61,243,61,1988-03-12,CHI,,SAS,W 112-92,*,34:00,9,22,.409,0,0,,9,22,.409,.409,10,12,.833,3,4,7,6,0,0,2,2,28,20.1
62,244,62,1988-03-15,CHI,,CLE,W 108-89,*,37:00,17,29,.586,0,0,,17,29,.586,.586,4,7,.571,4,2,6,1,2,1,2,2,38,27.3
